year,last_name, first_name,player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,api_pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label
,Graterol, Brusdar,660813,R,FC,39,95.3,2352,6,0.30136798995191405,0.46111495662492696,169.4242391489059,200.4395191340125,Cutter,46,735,675,-31.015279985106588,31.01527998510657,60,12,15,11,15,1,0,12:15,11:15,+1H 00M
,Lorenzen, Michael,547179,R,FC,141,92,2526,6.8,0.3097106949698239,0.395401245963936,168.2405178728256,197.9634372706847,Cutter,40,750,690,-29.7229193978591,29.72291939785908,60,12,30,11,30,1,0,12:30,11:30,+1H 00M
,Martínez, Carlos,593372,R,FC,272,90.6,2171,8.8,0.42760065982163253,0.5244185337635985,146.44027527427406,171.66763252078954,Cutter,52,60,735,-25.22735724651548,25.22735724651547,45,1,0,12,15,0,45,1:00,12:15,+0H 45M
,Bumgarner, Madison,518516,L,FC,755,86,2423,7.9,0.36058643648557037,0.4575757945353194,178.16550934007606,155.04853073550711,Cutter,46,720,765,23.116978604568942,23.116978604568963,-45,12,0,12,45,0,45,12:00,12:45,-0H 45M
,González, Chi Chi,592346,R,FC,154,87.8,2519,4.8,0.24092158780381268,0.3131060320825287,203.8415403560434,220.432330480736,Cutter,31,675,645,-16.590790124692603,16.590790124692614,30,11,15,10,45,0,30,11:15,10:45,+0H 30M
,Jefferies, Daulton,641726,R,FC,31,91.3,2211,10.3,0.49083537530712634,0.7284308582807091,156.16666496313994,156.97554864849872,Cutter,73,765,765,-0.8088836853587793,0.8088836853587595,0,12,45,12,45,0,0,12:45,12:45, 0H 00M
,Lakins Sr., Travis,664042,R,FC,190,91.3,2416,9.4,0.4244200576895643,0.5277300181055213,177.54554252919274,206.93762556323549,Cutter,53,720,660,-29.39208303404274,29.39208303404277,60,12,0,11,0,1,0,12:00,11:00,+1H 00M
,Misiewicz, Anthony,664948,L,FC,297,88.7,2443,7.2,0.31773861690322497,0.3638877683939566,163.08345786618906,170.21379770267956,Cutter,36,750,735,-7.130339836490492,7.130339836490492,15,12,30,12,15,0,15,12:30,12:15,+0H 15M
,Montgomery, Jordan,656756,L,FC,354,87.3,2361,8,0.3573134999828663,0.4620415627762417,195.7266694415851,173.67410838285596,Cutter,46,690,735,22.05256105872914,22.05256105872915,-45,11,30,12,15,0,45,11:30,12:15,-0H 45M
,Rodriguez, Eduardo,593958,L,FC,465,88.3,2186,8.1,0.37549628635784976,0.4806076946234981,200.25752150540868,163.59839218473664,Cutter,48,675,750,36.65912932067204,36.65912932067203,-75,11,15,12,30,1,15,11:15,12:30,-1H 15M
,McCullers Jr., Lance,621121,R,FC,40,89.8,2535,6.8,0.29448499260730554,0.25977520590568765,202.2209395276161,210.57158064834871,Cutter,26,675,660,-8.350641120732604,8.350641120732615,15,11,15,11,0,0,15,11:15,11:00,+0H 15M
,Ponce de Leon, Daniel,594965,R,FC,65,89.2,2256,10.5,0.4957143032870724,0.5954840714986923,163.7552231398515,184.52923426186175,Cutter,60,750,705,-20.77401112201025,20.774011122010265,45,12,30,11,45,0,45,12:30,11:45,+0H 45M
